Animal_ID,Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month
A713558,,11604 Fruitwood Pl in Austin (TX),Wildlife,Sick,Other,Unknown,1.0,Raccoon Mix,Gray,Unknown,1.0,1.0,2015,10,2015,10,2014,10
A683445,*Blynn,7715 Hidden View Cir in Austin (TX),Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,0.08333333333333333,1.0,2014,7,2014,7,2014,6
A788974,,5511 Blue Bluff Road in Austin (TX),Stray,Normal,Dog,Intact Male,0.16666666666666666,Chihuahua Shorthair Mix,Tan/Black,Neutered Male,0.16666666666666666,0.0,2019,2,2019,2,2018,12
A692979,Maggie,2509 East 10Th Street in Austin (TX),Stray,Normal,Dog,Intact Female,7.0,Boston Terrier,Brown Brindle/White,Spayed Female,7.0,0.0,2014,11,2014,12,2007,11
A727549,,3303 Oak Alley in Austin (TX),Stray,Normal,Cat,Unknown,0.038461538461538464,Siamese Mix,Blue Point,Unknown,0.038461538461538464,0.0,2016,5,2016,5,2016,5
A690363,*Lionel,8827 East Dr in Austin (TX),Stray,Normal,Cat,Intact Male,0.07692307692307693,Domestic Shorthair Mix,Brown Tabby,Intact Male,0.07692307692307693,0.0,2014,10,2014,10,2014,9
A718696,*Sheldon,Prairie Knoll Ct And Lochridge Dr in Austin (TX),Stray,Normal,Dog,Intact Male,8.0,German Shepherd Mix,Black,Neutered Male,8.0,0.0,2016,1,2016,2,2008,1
A707358,,3505 South Lamar in Austin (TX),Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair Mix,Blue/White,Intact Male,0.08333333333333333,0.0,2015,7,2015,7,2015,5
A603736,Bleu,12812 Briarcreek Loop in Travis (TX),Stray,Normal,Dog,Spayed Female,8.0,Pit Bull,Blue/White,Spayed Female,8.0,0.0,2015,12,2016,1,2007,4
A771953,,7623 Hiddenview Circle in Del Valle (TX),Stray,Sick,Cat,Intact Male,0.038461538461538464,Domestic Shorthair Mix,Black/White,Intact Male,0.038461538461538464,0.0,2018,5,2018,5,2018,4
A684464,Osiris,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,0.08333333333333333,Labrador Retriever/Spanish Water Dog,Black/White,Neutered Male,0.16666666666666666,0.0,2014,7,2014,7,2014,5
A604442,Bella,11501 Timber Heights Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,5.0,Boxer Mix,Brown/White,Spayed Female,5.0,0.0,2016,8,2016,9,2011,3
A667847,*Tufty,3611 Pace Bend Rd South in Travis (TX),Stray,Normal,Cat,Intact Female,0.16666666666666666,Domestic Medium Hair Mix,Brown Tabby,Intact Female,0.16666666666666666,0.0,2013,11,2013,11,2013,9
A750386,,Austin (TX),Stray,Normal,Cat,Unknown,0.005479452054794521,Domestic Shorthair Mix,Black,Unknown,0.005479452054794521,0.0,2017,5,2017,5,2017,5
