Name_Intake,Found_Location,Intake_Type,Intake_Condition,Animal_Type_Intake,Sex_upon_Intake,Age_upon_Intake,Breed_Intake,Color_Intake,Sex_upon_Outcome,Age_upon_Outcome,binary_outcome,year_intake,month_intake,year_outcome,month_outcome,birth_year,birth_month,percent,Time_In_Shelter,Neutered_Spayed_In_Shelter
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Male,0.08333333333333333,Mixed-Breed,Mixed-Color,Neutered Male,0.25,0.0,2017,6,2017,8,2017,5,0.2849002849002849,0.16666666666666669,Yes
Named,Austin (TX),Stray,Normal,Cat,Neutered Male,5.0,Mixed-Breed,Mixed-Color,Neutered Male,5.0,0.0,2016,12,2016,12,2011,12,0.15408320493066258,0.0,No
Named,Other (TX),Stray,Normal,Dog,Intact Female,3.0,Cross-Breed,Mixed-Color,Spayed Female,3.0,0.0,2015,5,2015,5,2012,5,0.2849002849002849,0.0,Yes
Unnamed,Austin (TX),Stray,Normal,Cat,Unknown,0.07692307692307693,Mixed-Breed,Pure-Color,Unknown,0.07692307692307693,1.0,2015,7,2015,7,2015,6,0.15408320493066258,0.0,No
Named,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,6.0,Pure-Breed,Pure-Color,Neutered Male,6.0,0.0,2020,1,2020,1,2014,1,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Dog,Intact Female,7.0,Mixed-Breed,Pure-Color,Spayed Female,7.0,0.0,2015,11,2015,11,2008,11,0.2849002849002849,0.0,Yes
Unnamed,Austin (TX),Stray,Normal,Dog,Intact Male,0.5833333333333333,Mixed-Breed,Mixed-Color,Intact Male,0.5833333333333333,0.0,2019,11,2019,12,2019,4,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Stray,Injured,Cat,Neutered Male,10.0,Mixed-Breed,Mixed-Color,Neutered Male,10.0,1.0,2014,6,2014,6,2004,6,0.15408320493066258,0.0,No
Named,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2.0,Mixed-Breed,Mixed-Color,Neutered Male,2.0,0.0,2017,1,2017,1,2015,1,0.15408320493066258,0.0,No
Named,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2.0,Pure-Breed,Pure-Color,Spayed Female,2.0,0.0,2019,5,2019,6,2017,5,0.2849002849002849,0.0,Yes
Named,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Mixed-Breed,Mixed-Color,Neutered Male,2.0,0.0,2019,12,2020,1,2017,12,0.2849002849002849,0.0,Yes
Named,Austin (TX),Stray,Normal,Dog,Intact Female,2.0,Pure-Breed,Pure-Color,Spayed Female,2.0,0.0,2018,11,2018,12,2016,11,0.2849002849002849,0.0,Yes
Named,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2.0,Cross-Breed,Mixed-Color,Neutered Male,2.0,0.0,2019,7,2019,8,2017,7,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Cat,Intact Female,0.41666666666666663,Mixed-Breed,Mixed-Color,Intact Female,0.5,0.0,2017,6,2017,6,2016,12,0.15408320493066258,0.08333333333333337,No
Named,Austin (TX),Stray,Normal,Dog,Intact Male,1.0,Pure-Breed,Mixed-Color,Intact Male,1.0,0.0,2014,8,2014,8,2013,8,0.15408320493066258,0.0,No
Named,Austin (TX),Public Assist,Normal,Dog,Neutered Male,4.0,Pure-Breed,Mixed-Color,Neutered Male,4.0,0.0,2016,4,2016,4,2011,8,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Wildlife,Normal,Other,Unknown,3.0,Pure-Breed,Pure-Color,Unknown,3.0,1.0,2019,6,2019,6,2016,6,0.15408320493066258,0.0,No
Unnamed,Austin (TX),Stray,Normal,Dog,Intact Male,0.16666666666666666,Pure-Breed,Pure-Color,Neutered Male,0.16666666666666666,0.0,2014,4,2014,4,2014,1,0.2849002849002849,0.0,Yes
Named,Austin (TX),Stray,Normal,Dog,Neutered Male,0.8333333333333333,Mixed-Breed,Mixed-Color,Neutered Male,0.8333333333333333,0.0,2017,12,2017,12,2017,1,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Dog,Intact Female,0.5,Mixed-Breed,Mixed-Color,Spayed Female,0.5,0.0,2015,7,2015,7,2014,12,0.2849002849002849,0.0,Yes
Named,Austin (TX),Stray,Normal,Dog,Intact Female,3.0,Mixed-Breed,Pure-Color,Spayed Female,3.0,0.0,2019,4,2019,5,2016,4,0.2849002849002849,0.0,Yes
Named,Austin (TX),Owner Surrender,Injured,Dog,Intact Male,1.0,Mixed-Breed,Pure-Color,Neutered Male,1.0,0.0,2018,1,2018,5,2017,1,0.2849002849002849,0.0,Yes
Named,Austin (TX),Public Assist,Normal,Dog,Spayed Female,4.0,Mixed-Breed,Pure-Color,Spayed Female,4.0,0.0,2017,10,2017,11,2013,1,0.15408320493066258,0.0,No
Named,Other (TX),Stray,Normal,Cat,Intact Female,0.057692307692307696,Mixed-Breed,Pure-Color,Spayed Female,0.16666666666666666,0.0,2018,10,2018,12,2018,9,0.2849002849002849,0.10897435897435896,Yes
Named,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,0.08333333333333333,Mixed-Breed,Mixed-Color,Neutered Male,0.08333333333333333,0.0,2018,11,2018,11,2018,9,0.15408320493066258,0.0,No
Named,Other (TX),Owner Surrender,Normal,Dog,Intact Female,2.0,Mixed-Breed,Mixed-Color,Intact Female,2.0,0.0,2015,10,2015,11,2013,10,0.15408320493066258,0.0,No
Named,Other (TX),Stray,Normal,Dog,Neutered Male,0.8333333333333333,Mixed-Breed,Mixed-Color,Neutered Male,0.8333333333333333,0.0,2017,1,2017,1,2016,3,0.15408320493066258,0.0,No
Named,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,0.16666666666666666,Cross-Breed,Mixed-Color,Neutered Male,0.16666666666666666,0.0,2015,6,2015,6,2015,3,0.15408320493066258,0.0,No
Named,Other (TX),Public Assist,Normal,Cat,Neutered Male,2.0,Mixed-Breed,Mixed-Color,Neutered Male,2.0,0.0,2019,3,2019,3,2017,3,0.15408320493066258,0.0,No
Unnamed,Other (TX),Stray,Normal,Dog,Intact Female,0.08333333333333333,Cross-Breed,Mixed-Color,Intact Female,0.08333333333333333,0.0,2013,12,2013,12,2013,10,0.15408320493066258,0.0,No
Named,Austin (TX),Stray,Normal,Dog,Intact Male,2.0,Mixed-Breed,Mixed-Color,Neutered Male,2.0,0.0,2015,12,2016,4,2013,12,0.2849002849002849,0.0,Yes
Named,Austin (TX),Stray,Normal,Cat,Intact Male,0.057692307692307696,Mixed-Breed,Pure-Color,Neutered Male,0.25,0.0,2016,8,2016,10,2016,7,0.2849002849002849,0.1923076923076923,Yes
Unnamed,Austin (TX),Stray,Normal,Cat,Intact Female,0.019230769230769232,Mixed-Breed,Pure-Color,Intact Female,0.019230769230769232,0.0,2017,6,2017,6,2017,6,0.15408320493066258,0.0,No
